2024-08-17 13:53:41,572: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,573: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,574: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,574: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,574: asyncio: INFO: [MLTrader] Getting historical prices for MSFT, 365 bars, day
2024-08-17 13:53:41,574: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,575: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,576: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,576: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,576: asyncio: INFO: [MLTrader] Getting historical prices for GOOGL, 365 bars, day
2024-08-17 13:53:41,576: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,576: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,577: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,578: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,578: asyncio: INFO: [MLTrader] Getting historical prices for AMZN, 365 bars, day
2024-08-17 13:53:41,578: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,578: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,579: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,579: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,579: asyncio: INFO: [MLTrader] Getting historical prices for META, 365 bars, day
2024-08-17 13:53:41,579: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,580: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,581: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,581: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,581: asyncio: INFO: [MLTrader] Getting historical prices for TSLA, 365 bars, day
2024-08-17 13:53:41,581: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,581: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,582: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,583: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-08-17 13:53:41,583: root: INFO: Current backtesting datetime 2022-06-08 16:00:00-04:00
2024-08-17 13:53:41,583: root: INFO: Current backtesting datetime 2022-06-09 09:30:00-04:00
2024-08-17 13:53:41,583: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-08-17 13:53:41[0m
2024-08-17 13:53:41,583: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,584: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,584: asyncio: INFO: [MLTrader] Getting historical prices for AAPL, 365 bars, day
2024-08-17 13:53:41,584: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,584: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,585: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,586: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,586: asyncio: INFO: [MLTrader] Getting historical prices for MSFT, 365 bars, day
2024-08-17 13:53:41,586: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,586: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,587: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,587: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-08-17 13:53:41,588: asyncio: INFO: [MLTrader] Getting historical prices for GOOGL, 365 bars, day
2024-08-17 13:53:41,588: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
